Symbol,ISIN,Trade Date,Exchange,Segment,Series,Trade Type,Auction,Quantity,Price,Trade ID,Order ID,Order Execution Time
APOLLOHOSP,INE437A01024,13-01-2025,NSE,EQ,EQ,sell,FALSE,2,"6,890.25",3074947,1.00E+15,2025-01-13T10:41:55
SCHAEFFLER,INE513A01022,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"3,289.50",603649022,1.30E+15,2025-01-13T10:41:55
SCHAEFFLER,INE513A01022,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"3,289.45",603649023,1.30E+15,2025-01-13T10:41:55
MAXHEALTH,INE027H01010,13-01-2025,NSE,EQ,EQ,sell,FALSE,45,"1,104.95",404105806,1.20E+15,2025-01-13T10:41:55
SCHAEFFLER,INE513A01022,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"3,289.35",603649024,1.30E+15,2025-01-13T10:41:55
KPITTECH,INE04I401011,13-01-2025,NSE,EQ,EQ,sell,FALSE,25,"1,353.30",404105744,1.20E+15,2025-01-13T10:41:55
KPITTECH,INE04I401011,13-01-2025,NSE,EQ,EQ,sell,FALSE,11,"1,353.35",404105743,1.20E+15,2025-01-13T10:41:55
KPITTECH,INE04I401011,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"1,353.35",404105742,1.20E+15,2025-01-13T10:41:55
APOLLOHOSP,INE437A01024,13-01-2025,NSE,EQ,EQ,sell,FALSE,4,"6,890",3074950,1.00E+15,2025-01-13T10:41:55
APOLLOHOSP,INE437A01024,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"6,890.05",3074949,1.00E+15,2025-01-13T10:41:55
SCHAEFFLER,INE513A01022,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"3,289.30",603649025,1.30E+15,2025-01-13T10:41:55
SCHAEFFLER,INE513A01022,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"3,289.20",603649026,1.30E+15,2025-01-13T10:41:55
SCHAEFFLER,INE513A01022,13-01-2025,NSE,EQ,EQ,sell,FALSE,4,"3,289.10",603649027,1.30E+15,2025-01-13T10:41:55
SCHAEFFLER,INE513A01022,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"3,289.50",603649021,1.30E+15,2025-01-13T10:41:55
SCHAEFFLER,INE513A01022,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"3,289.75",603649016,1.30E+15,2025-01-13T10:41:55
SCHAEFFLER,INE513A01022,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"3,289.60",603649017,1.30E+15,2025-01-13T10:41:55
SCHAEFFLER,INE513A01022,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"3,289.55",603649018,1.30E+15,2025-01-13T10:41:55
SCHAEFFLER,INE513A01022,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"3,289.55",603649019,1.30E+15,2025-01-13T10:41:55
APOLLOHOSP,INE437A01024,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"6,890.05",3074948,1.00E+15,2025-01-13T10:41:55
KPITTECH,INE04I401011,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"1,353.35",404105741,1.20E+15,2025-01-13T10:41:55
SCHAEFFLER,INE513A01022,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,"3,289.55",603649020,1.30E+15,2025-01-13T10:41:55
TIINDIA,INE974X01010,13-01-2025,NSE,EQ,EQ,sell,FALSE,15,"3,421",603649097,1.30E+15,2025-01-13T10:41:56
APARINDS,INE372A01015,13-01-2025,NSE,EQ,EQ,buy,FALSE,1,"10,168.15",3079961,1.00E+15,2025-01-13T10:42:06
APARINDS,INE372A01015,13-01-2025,NSE,EQ,EQ,buy,FALSE,1,"10,167.30",3079959,1.00E+15,2025-01-13T10:42:06
GODFRYPHLP,INE260B01028,13-01-2025,NSE,EQ,EQ,buy,FALSE,4,"4,583.80",203714153,1.10E+15,2025-01-13T10:42:06
KEC,INE389H01022,13-01-2025,NSE,EQ,EQ,buy,FALSE,42,947,404111369,1.20E+15,2025-01-13T10:42:06
APARINDS,INE372A01015,13-01-2025,NSE,EQ,EQ,buy,FALSE,3,"10,167.35",3079960,1.00E+15,2025-01-13T10:42:06
GODFRYPHLP,INE260B01028,13-01-2025,NSE,EQ,EQ,buy,FALSE,4,"4,583.85",203714154,1.10E+15,2025-01-13T10:42:06
GODFRYPHLP,INE260B01028,13-01-2025,NSE,EQ,EQ,buy,FALSE,2,"4,584.15",203714155,1.10E+15,2025-01-13T10:42:06
GODFRYPHLP,INE260B01028,13-01-2025,NSE,EQ,EQ,buy,FALSE,1,"4,584.35",203714156,1.10E+15,2025-01-13T10:42:06
KEC,INE389H01022,13-01-2025,NSE,EQ,EQ,buy,FALSE,1,946.95,404111367,1.20E+15,2025-01-13T10:42:06
KEC,INE389H01022,13-01-2025,NSE,EQ,EQ,buy,FALSE,10,946.95,404111368,1.20E+15,2025-01-13T10:42:06
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,9,592.6,203714431,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,1,592.55,203714419,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,3,592.55,203714420,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,9,592.55,203714421,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,1,592.55,203714422,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,3,592.55,203714423,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,9,592.55,203714424,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,3,592.55,203714425,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,9,592.55,203714426,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,3,592.55,203714427,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,3,592.55,203714428,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,18,592.55,203714429,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,1,592.6,203714430,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,6,592.6,203714432,1.10E+15,2025-01-13T10:42:07
GRANULES,INE101D01020,13-01-2025,NSE,EQ,EQ,buy,FALSE,6,592.6,203714433,1.10E+15,2025-01-13T10:42:07
GRSE,INE382Z01011,13-01-2025,NSE,EQ,EQ,buy,FALSE,7,"1,445.55",203714627,1.10E+15,2025-01-13T10:42:07
GRSE,INE382Z01011,13-01-2025,NSE,EQ,EQ,buy,FALSE,27,"1,445.70",203714628,1.10E+15,2025-01-13T10:42:07
GRSE,INE382Z01011,13-01-2025,NSE,EQ,EQ,buy,FALSE,1,"1,445.75",203714629,1.10E+15,2025-01-13T10:42:07
TI,INE133E01013,13-01-2025,NSE,EQ,EQ,buy,FALSE,10,408.8,603654811,1.30E+15,2025-01-13T10:42:07
TI,INE133E01013,13-01-2025,NSE,EQ,EQ,buy,FALSE,50,408.8,603654810,1.30E+15,2025-01-13T10:42:07
TI,INE133E01013,13-01-2025,NSE,EQ,EQ,buy,FALSE,4,408.8,603654809,1.30E+15,2025-01-13T10:42:07
TI,INE133E01013,13-01-2025,NSE,EQ,EQ,buy,FALSE,20,408.75,603654808,1.30E+15,2025-01-13T10:42:07
TI,INE133E01013,13-01-2025,NSE,EQ,EQ,buy,FALSE,1,408.7,603654807,1.30E+15,2025-01-13T10:42:07
TI,INE133E01013,13-01-2025,NSE,EQ,EQ,buy,FALSE,38,408.65,603654806,1.30E+15,2025-01-13T10:42:07
AGI,INE415A01038,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,986.05,203718909,1.10E+15,2025-01-13T10:42:14
AGI,INE415A01038,13-01-2025,NSE,EQ,EQ,sell,FALSE,3,986.1,203718908,1.10E+15,2025-01-13T10:42:14
AGI,INE415A01038,13-01-2025,NSE,EQ,EQ,sell,FALSE,7,986.25,203718907,1.10E+15,2025-01-13T10:42:14
AGI,INE415A01038,13-01-2025,NSE,EQ,EQ,sell,FALSE,3,986.3,203718906,1.10E+15,2025-01-13T10:42:14
AGI,INE415A01038,13-01-2025,NSE,EQ,EQ,sell,FALSE,1,986.5,203718905,1.10E+15,2025-01-13T10:42:14
AGI,INE415A01038,13-01-2025,NSE,EQ,EQ,sell,FALSE,32,986,203718911,1.10E+15,2025-01-13T10:42:14
AGI,INE415A01038,13-01-2025,NSE,EQ,EQ,sell,FALSE,10,986.05,203718910,1.10E+15,2025-01-13T10:42:14
GRAVITA,INE024L01027,13-01-2025,NSE,EQ,EQ,sell,FALSE,8,"2,170.05",203721025,1.10E+15,2025-01-13T10:42:15
GRAVITA,INE024L01027,13-01-2025,NSE,EQ,EQ,sell,FALSE,18,"2,170.10",203721022,1.10E+15,2025-01-13T10:42:15
